"participant","trial","task","beliefs.1","beliefs.2","beliefs.3","beliefs.4","beliefs.5"
"11",1,"0.15100",-1.46900231607574,-0.302196604430364,-0.115029586719614,-0.236176885976316,0.32018699454819
"21",1,"0.15100",0.874398464110309,0.451929027465248,-0.762780730687077,0.269956892428947,-2.36949566413269
"31",1,"0.15100",0.183242306596821,0.164305033406643,0.247322012089745,1.32750033887038,1.15745209872195
"41",1,"0.15100",0.0581334963919384,1.44169645707696,0.0779352809888598,-0.407979314215793,1.94065929762245
"51",1,"0.15100",-0.714520775911822,0.566598547604251,1.02086608501986,1.8434388398392,0.406689391671044
"61",1,"0.15100",0.659995538592036,0.820012538792353,0.341675533171008,-0.0502986548847638,1.62021053599337
"71",1,"0.15100",1.05962291394345,0.793421563073089,0.649112376400327,0.889608884038804,-1.39320162020083
"81",1,"0.15100",-1.92739470248013,-0.68233585944493,-1.24012403415425,-0.504911240926077,-0.75443172438058
"91",1,"0.15100",-0.618742197951921,1.40072507803668,-1.14409542501811,2.02082015261282,0.329224462846913
"101",1,"0.15100",-0.813903145055896,0.858832258110856,0.701769347860602,-0.958438200926983,0.778298612821449
"12",2,"0.15100",-0.634622903864939,-0.255168528279648,-0.0401408487437161,0.0682323765786212,1.66169979963292
"22",2,"0.15100",1.04429610228234,-1.51131299975808,0.91000358891637,1.31683054702582,0.18969471578857
"32",2,"0.15100",-1.16000655403972,0.287752033531076,-0.195762032882063,0.454489813830452,0.631485932574709
"42",2,"0.15100",2.68576310798251,-0.306827395580327,-0.773999318252339,1.33955910275521,0.0385461423213185
"52",2,"0.15100",1.71600947017141,1.50632703085126,-0.129154253588921,1.28432208708632,-1.99939490284563
"62",2,"0.15100",-1.00697623140819,0.366460117379614,0.852729517160631,1.41688318597766,0.337921178761229
"72",2,"0.15100",1.34530034294354,-0.578134488419324,-0.053829359474193,0.444807921692487,0.252522617327551
"82",2,"0.15100",-1.29684867415535,0.373503909953847,-0.0386877793901806,0.267108073113423,0.440962235965332
